rank,source,target,weight
711,1182431955,1329190414,1025.0
712,1209460739,1251576410,1025.0
713,1209201021,1390531078,1025.0
714,1319934286,1499887594,1024.0
715,1368653619,1427225152,1022.0
716,1156070272,1415035727,1022.0
717,1310336110,1445178585,1021.0
718,1235765787,1280744318,1020.0
719,1238958753,1260703582,1020.0
720,1131477230,1474752835,1019.0
721,1238958753,1433942658,1019.0
722,1294695598,1330105875,1017.0
723,1398930775,1455723818,1016.0
724,1347686776,1460720133,1016.0
725,1409902227,1421152883,1015.0
726,1198273471,1207257098,1015.0
727,1131477230,1196976299,1015.0
728,1239920372,1268438293,1014.0
729,1335494070,1397978547,1014.0
730,1317617591,1347686776,1013.0
731,1177133774,1474014038,1012.0
732,1115803763,1261738816,1012.0
733,1445145501,1471668294,1012.0
734,1327487630,1368653619,1012.0
735,1235765787,1446015393,1011.0
736,1294262324,1329190414,1011.0
737,1308562174,1454859840,1011.0
738,1275496039,1301001697,1010.0
739,1166191460,1298838711,1010.0
740,1182431955,1294262324,1010.0
741,1187433883,1499887594,1009.0
742,1209201021,1324845030,1009.0
743,1191783377,1420864420,1008.0
744,1149082499,1294099146,1006.0
745,1165190667,1341689344,1006.0
746,1298838711,1327487630,1006.0
747,1480302189,1484115630,1004.0
748,1263603146,1268722841,1003.0
749,1219541257,1454859840,1003.0
750,1184074956,1397978547,1002.0
751,1160980171,1297050960,1002.0
752,1340805210,1491284875,1001.0
753,1210696977,1413819770,1000.0
754,1106101850,1347686776,1000.0
755,1335494070,1448784685,1000.0
756,1066676838,1297234080,1000.0
757,1445560740,1484115630,1000.0
758,1247799377,1319934286,996.0
759,1181438138,1407141072,995.0
760,1310336110,1364647570,995.0
761,1407141072,1483531187,995.0
762,1395856480,1470051982,994.0
763,1413819770,1498471211,993.0
764,1235765787,1468429258,991.0
765,1365370869,1446015393,989.0
766,1132192146,1178808159,989.0
767,1272257092,1283305713,988.0
768,1280005976,1280744318,987.0
769,1379460623,1398930775,987.0
770,1196976299,1420473305,986.0
771,1338747006,1489521045,986.0
772,1153512408,1335494070,985.0
773,1420473305,1498471211,985.0
774,1178808159,1329190414,984.0
775,1238958753,1315706903,984.0
776,1238179593,1335494070,983.0
777,1047165165,1217558273,983.0
778,1184145483,1319934286,979.0
779,1299409493,1498225294,979.0
780,1233666886,1259272346,979.0
781,1017264508,1121829691,978.0
782,1294695598,1450961475,977.0
783,1367687086,1498563702,976.0
784,1318146772,1395630712,976.0
785,1154587065,1294695598,975.0
786,1259272346,1301001697,975.0
787,1269644877,1358214409,974.0
788,1420473305,1444727359,973.0
789,1217341726,1319486488,972.0
790,1179314511,1291607687,971.0
791,1409239965,1411281632,970.0
792,1291607687,1324296045,970.0
793,1376077717,1413819770,970.0
794,1077006331,1347686776,969.0
795,1178378693,1427225152,969.0
796,1218972417,1282897347,969.0
797,1044810592,1311068127,968.0
798,1245511919,1413819770,967.0
799,1408807671,1483531187,966.0
800,1127620468,1173787530,966.0
801,1423064351,1474014038,966.0
802,1224970535,1407141072,966.0
803,1421152883,1468429258,966.0
804,1187433883,1468429258,964.0
805,1141304156,1148945039,963.0
806,1219541257,1258239878,962.0
807,1152048413,1196504640,962.0
808,1323086677,1431665056,961.0
809,1222020224,1474014038,961.0
810,1179877172,1182918476,961.0
811,1327487630,1456960878,961.0
812,1160980171,1308555684,961.0
813,1163401725,1407272195,959.0
814,1179877172,1421152883,959.0
815,1247799377,1291607687,958.0
816,1307588702,1310336110,958.0
817,1233806061,1238958753,958.0
818,1191783377,1461707670,958.0
819,1298694152,1299214950,956.0
820,1468429258,1474879162,956.0
821,1132192146,1187433883,956.0
822,1351129033,1379442891,956.0
823,1251576410,1478339076,956.0
824,1072043059,1090394631,956.0
825,1187433883,1397736360,955.0
