rank,node,degree
806,1103662477,2405
807,1246749297,2405
808,1355590399,2401
809,1167402207,2398
810,1092363260,2397
811,1231492888,2395
812,1085835572,2394
813,1132429239,2394
814,1248013222,2392
815,1059888117,2391
816,1077257299,2390
817,1123324991,2390
818,1127283293,2389
819,1348420151,2384
820,1112679385,2381
821,1121541955,2381
822,1125988466,2378
823,1244950694,2370
824,1114083610,2366
825,1144106905,2364
826,1300054448,2364
827,1005787919,2362
828,1124275609,2361
829,1325585707,2361
830,1374116112,2360
831,1144516114,2358
832,1089775412,2357
833,1105531306,2353
834,1362418275,2353
835,1274166065,2352
836,1146982826,2351
837,1470051982,2351
838,1117766398,2350
839,1096762825,2349
840,1104585063,2348
841,1119787486,2348
842,1125354379,2345
843,1074170832,2344
844,1124318283,2343
845,1143686834,2343
846,1148251562,2343
847,1052879570,2342
848,1461178993,2341
849,1093215348,2337
850,1172611006,2336
851,1433942658,2334
852,1157489608,2333
853,1073209442,2328
854,1015950403,2327
855,1117806905,2327
856,1110847168,2326
857,1379531746,2326
858,1060668006,2324
859,1109255475,2324
860,1100575758,2322
861,1121828264,2322
862,1143282611,2322
863,1134044966,2320
864,1354512822,2320
865,1075721831,2319
866,1107507219,2316
867,1136781035,2316
868,1305553253,2315
869,1226981666,2313
870,1313349485,2313
871,1083318035,2312
872,1078282538,2311
873,1261738816,2311
874,1269390275,2311
875,1325419122,2311
876,1155399922,2309
877,1114202320,2308
878,1068072243,2307
879,1145593739,2305
880,1101880625,2303
881,1263895615,2302
882,1042743929,2301
883,1253630974,2296
884,1101290608,2295
885,1170181603,2289
886,1123608697,2288
887,1321444851,2288
888,1072210400,2287
889,1086320853,2287
890,1059488357,2286
891,1346219602,2285
892,1125344856,2284
893,1397431554,2283
894,1026062434,2282
895,1394345915,2280
896,1103396687,2279
897,1352355804,2278
898,1218158101,2277
899,1181965174,2275
900,1249635615,2275
901,1277435645,2275
902,1093295279,2273
903,1126275433,2273
904,1134729726,2272
905,1115818937,2271
906,1324951111,2271
907,1340643757,2269
908,1099459378,2266
909,1158454479,2259
910,1391814321,2257
911,1250378934,2256
912,1270695279,2254
913,1091856266,2252
914,1057993356,2251
915,1289472650,2251
916,1244781536,2250
917,1137225329,2249
918,1267488327,2249
919,1146005843,2247
920,1168602532,2247
921,1243409886,2245
922,1103298909,2238
923,1019933446,2237
924,1097730128,2237
925,1101701889,2236
926,1355913403,2236
927,1148787499,2235
928,1225832683,2235
929,1149693976,2231
930,1322223580,2231
931,1070741514,2230
932,1058506019,2225
933,1245450350,2225
934,1358801841,2225
935,1106731026,2223
936,1317839128,2223
937,1245697165,2219
938,1147372464,2218
939,1472539388,2218
940,1119660823,2217
941,1106681845,2215
942,1104984609,2213
943,1318310515,2212
944,1149163243,2210
945,1392381101,2210
946,1395856480,2210
947,1063722552,2209
948,1222069928,2209
949,1222421051,2209
950,1294695598,2206
951,1185835243,2205
952,1134585941,2204
953,1126957067,2201
954,1072829841,2200
955,1137266431,2197
956,1385839443,2197
957,1111862167,2196
958,1140847336,2196
959,1178512174,2196
960,1235608532,2195
961,1293224546,2194
962,1141357845,2193
963,1305765064,2193
964,1220372022,2192
965,1006990786,2191
966,1185543476,2190
967,1071767857,2189
968,1128890209,2189
969,1151815888,2188
970,1156828741,2187
971,1067167715,2184
972,1386183926,2184
973,1108510027,2182
974,1150461970,2182
975,1340318100,2182
976,1271146919,2181
977,1098614033,2180
978,1129981062,2178
979,1306398788,2178
980,1330105875,2177
981,1351320786,2177
982,1296059577,2176
983,1108052813,2175
984,1016023364,2173
985,1470774199,2173
986,1246985986,2172
987,1453161541,2172
988,1055497590,2168
989,1065043113,2168
990,1096556752,2165
991,1335769982,2165
992,1082972617,2162
993,1139289174,2162
994,1307392977,2161
995,1462335381,2161
996,1066416514,2158
997,1257875491,2157
998,1114797105,2155
999,1381023679,2155
1000,1113944235,2154
